"programName","locationName","studyYear","studyName","studyDesign","MaxNOHAV"
"TARI","Ukiriguru",2016,"16 GxE","Alpha",NA
"TARI","Ukiriguru",2016,"CET_2_2016","Alpha",NA
"TARI","Ukiriguru",2016,"PYT_2016","Alpha",NA
"TARI","Bunda",2017,"17GxE30bunda","Alpha",20
"TARI","Bunda",2017,"17NPT8bunda","RCBD",17
"TARI","Bunda",2017,"17uytbunda","RCBD",17
"TARI","Chambezi",2017,"KBH_2017_18_PYT_1","RCBD",NA
"TARI","Chambezi",2017,"KBH_2017_18_PYT_2","RCBD",9
"TARI","Chambezi",2017,"KBH_2017_18_PYT_4","RCBD",9
"TARI","Chambezi",2017,"KBH_2017_18_PYT_5","RCBD",9
"TARI","Chambezi",2017,"KBH_2017_18_PYT_6","RCBD",9
"TARI","Chambezi",2017,"KBH_2017_18_PYT_7","RCBD",9
"TARI","Chambezi",2017,"kbh_2017_18_pyt_8","RCBD",9
"TARI","Chambezi",2017,"kbh_2017_18_pyt_9","RCBD",9
"TARI","Chambezi",2017,"KBH2017_18_AYT_1","RCBD",NA
"TARI","Chambezi",2017,"KBH2017_18_AYT_2","RCBD",NA
"TARI","Chambezi",2017,"KBH2017_18_AYT_3","RCBD",NA
"TARI","Chambezi",2017,"KBH2017_18_AYT_4","RCBD",NA
"TARI","Chambezi",2017,"KBH2017_18_AYT_5","RCBD",NA
"TARI","Chambezi",2017,"KBH2017_18_AYT_6","RCBD",NA
"TARI","Chambezi",2017,"KBH2017_18_PYT_3","RCBD",NA
"TARI","Chato",2017,"17GxE30chato","Alpha",20
"TARI","Kakonko",2017,"17NPT8kakonko","RCBD",16
"TARI","Maruku",2017,"17GxE30maruku","Alpha",20
"TARI","Ukerewe",2017,"17NPT8ukerewe","RCBD",16
"TARI","Ukerewe",2017,"17uytukerewe","RCBD",16
"TARI","Ukiriguru",2017,"17cet1","Alpha",5
"TARI","Ukiriguru",2017,"17GxE30ukiriguru","Alpha",20
"TARI","Ukiriguru",2017,"17NPT8ukiriguru","RCBD",19
"TARI","Ukiriguru",2017,"17pyt","Alpha",10
"TARI","Ukiriguru",2017,"17uytukg","RCBD",16
"TARI","Bunda",2018,"18npt_bunda","RCBD",20
"TARI","Bunda",2018,"18uyt_bunda","RCBD",NA
"TARI","Bwanga",2018,"18npt_bwanga","RCBD",20
"TARI","Bwanga",2018,"18uyt_bwanga","RCBD",NA
"TARI","Bwanga",2018,"Bwanga 2018","Alpha",24
"TARI","Chambezi",2018,"NGTZ18KBH_AYT1","Alpha",NA
"TARI","Chambezi",2018,"NGTZ18KBH_AYT3","Alpha",10
"TARI","Chambezi",2018,"NGTZ18KBH_AYT4","Alpha",19
"TARI","Chambezi",2018,"NGTZ18KBH_AYT6","Alpha",15
"TARI","Chambezi",2018,"NGTZ18KBH_CET","CRD",5
"TARI","Chambezi",2018,"NGTZKBH-2018-19-UYT1","CRD",18
"TARI","Chambezi",2018,"NGTZKBH18_AYT2","Alpha",18
"TARI","Kasulu",2018,"kasulu2018","Alpha",20
"TARI","Maruku",2018,"18CROSSING_BLOCK_TRIAL_MRK","RCBD",NA
"TARI","Maruku",2018,"maruku2018","Alpha",20
"TARI","Mkuranga",2018,"NGTZ18KBH_AYT5_MKR","Alpha",20
"TARI","Mkuranga",2018,"NGTZ18KBH_AYT6_MKR","Alpha",21
"TARI","Ukerewe",2018,"18npt_ukerewe","RCBD",18
"TARI","Ukerewe",2018,"18uyt_ukerewe","RCBD",NA
"TARI","Ukerewe",2018,"ukerewe2018","Alpha",20
"TARI","Ukiriguru",2018,"17cet2","Alpha",5
"TARI","Ukiriguru",2018,"18CROSSING_BLOCK_TRIAL_UKG","RCBD",NA
"TARI","Ukiriguru",2018,"18npt_ukiriguru","RCBD",20
"TARI","Ukiriguru",2018,"18uyt_ukiriguru","RCBD",NA
"TARI","Ukiriguru",2018,"pyt_2018","Alpha",NA
"TARI","Ukiriguru",2018,"ukiriguru2018","Alpha",20
"TARI","Bunda",2019,"19_ayt_iita_material_bunda","RCBD",NA
"TARI","Bunda",2019,"2019_CBSD_IMMUNE_BUN","RCBD",NA
"TARI","Bunda",2019,"2019_NPT_BUN_5CP","CRD",NA
"TARI","Bunda",2019,"2019_NPT_BUN_TZ","CRD",NA
"TARI","Bunda",2019,"2019_UYT_BUN","RCBD",NA
"TARI","Bwanga",2019,"2019_UYT_BWA","CRD",NA
"TARI","Bwanga",2019,"2020AYT2BWANGA","RCBD",NA
"TARI","Bwanga",2019,"2020AYT3BWANGA","RCBD",NA
"TARI","Chambezi",2019,"19_C1_GS_Seedling_Nursery_Chambezi","Augmented",NA
"TARI","Chambezi",2019,"2019_NTP_IFAKARA","RCBD",NA
"TARI","Chambezi",2019,"ADVANCED YIELD TRIAL 2_2","CRD",NA
"TARI","Chambezi",2019,"ADVANCED YIELD TRIAL 5-2","CRD",NA
"TARI","Chambezi",2019,"NGTZ19CET","CRD",NA
"TARI","Chambezi",2019,"NGTZ19KBH_AYT3_2","CRD",NA
"TARI","Chambezi",2019,"NGTZ19KBH_AYT6_2","CRD",NA
"TARI","Chambezi",2019,"NGTZKBH-2018-19-UYT3","CRD",15
"TARI","Chambezi",2019,"NGTZKBH19_AYT4-2","CRD",NA
"TARI","Chambezi",2019,"NGTZKBH19_CBSD_IMMUNE_CHAMBEZI","RCBD",NA
"TARI","Chambezi",2019,"NGTZKBH19_CBSD_IMMUNE_GENOTYPE_SCREENING_KBH","RCBD",NA
"TARI","Chambezi",2019,"NGTZKBH19_CBSD_IMMUNE_KIBAHA","RCBD",NA
"TARI","Chambezi",2019,"NGTZKBH19_MULTILOCATIONAL1-2","CRD",NA
"TARI","Chambezi",2019,"NGTZKBH19_MULTILOCATIONAL2_2","CRD",NA
"TARI","Chambezi",2019,"NGTZKBH19_PYTA","CRD",NA
"TARI","Chambezi",2019,"NGTZKBH19_PYTB","CRD",NA
"TARI","Chambezi",2019,"NGTZKBH19_PYTC","CRD",NA
"TARI","Chambezi",2019,"NGTZKBH19_PYTD","CRD",NA
"TARI","Chambezi",2019,"NGTZKBH19_UYT3-2","CRD",NA
"TARI","Chambezi",2019,"NPT_CHAMBEZI","CRD",NA
"TARI","Chato",2019,"19_ayt_iita_material_chato","RCBD",NA
"TARI","Maruku",2019,"19_CROSSING_BLOCK_WHITEFLY","RCBD",NA
"TARI","Maruku",2019,"2019_CROSSING_BLOCK_CBSD_IMMUNE","CRD",NA
"TARI","Maruku",2019,"2019_NPT_MRK_TZ","CRD",NA
"TARI","Ukerewe",2019,"19_ayt_iita_material_ukerewe","RCBD",NA
"TARI","Ukerewe",2019,"2019_CBSD_IMMUNE_UKE","RCBD",NA
"TARI","Ukerewe",2019,"2019_NPT_UKE_TZ","CRD",NA
"TARI","Ukerewe",2019,"2019_UYT_UKE","RCBD",NA
"TARI","Ukiriguru",2019,"19_ayt_iita_material_Ukiriguru","RCBD",NA
"TARI","Ukiriguru",2019,"19_npt_ukg","RCBD",NA
"TARI","Ukiriguru",2019,"2019_CBSD_IMMUNE_UKGR","RCBD",NA
"TARI","Ukiriguru",2019,"2019_NPT_UKG_5CP","RCBD",NA
"TARI","Ukiriguru",2019,"2019_NPT_UKG_TZ","RCBD",NA
"TARI","Ukiriguru",2019,"2019_UYT_UKG","CRD",NA
"TARI","Bunda",2020,"2020_AYT_IITA_BUN","RCBD",NA
"TARI","Bunda",2020,"2020_AYT_TP_BUN","RCBD",NA
"TARI","Bunda",2020,"2020_AYT2_BUN","RCBD",NA
"TARI","Bunda",2020,"2020_AYT3_BUN","RCBD",NA
"TARI","Bunda",2020,"2020_PYT_NMKS1_BUN","Alpha",NA
"TARI","Bunda",2020,"2020_PYT_NMKxAR37-80_BUN","Alpha",NA
"TARI","Bunda",2020,"2020_UYT_BUN","RCBD",NA
"TARI","Bwanga",2020,"2020_UYT_BW","RCBD",NA
"TARI","Chambezi",2020,"2020_CET_CHAMBEZI","splitplot",NA
"TARI","Chambezi",2020,"2020_GWAS_CHAMBEZI_TRIAL","Augmented",NA
"TARI","Chambezi",2020,"2020_UYT1B_CHAMBEZI","CRD",NA
"TARI","Chambezi",2020,"AYT_2020_CHAMBEZI","RCBD",NA
"TARI","Chambezi",2020,"CHAMBEZI_UYT1A_2020","CRD",NA
"TARI","Chambezi",2020,"UYT2_2020_CHAMBEZI","RCBD",NA
"TARI","Chato",2020,"2020_AYT_IITA_CHATO","RCBD",NA
"TARI","Gairo",2020,"2020_uyt1A_GAIRO","RCBD",NA
"TARI","Hombolo",2020,"2020_UYT1A_HOMBOLO","RCBD",NA
"TARI","Hombolo",2020,"2020_UYT1B_HOMBOLO","RCBD",NA
"TARI","Hombolo",2020,"2020_UYT1C_HOMBOLO","RCBD",NA
"TARI","Hombolo",2020,"2020_UYT2_HOMBOLO","RCBD",NA
"TARI","ILONGA",2020,"2020_GxE_ILO","Lattice",NA
"TARI","Kasulu",2020,"2020_AYT_TP_KAS","RCBD",NA
"TARI","Kasulu",2020,"2020_PYT_NMKS1_KAS","Alpha",NA
"TARI","Kasulu",2020,"2020_PYT_NMKxAR37-80_KAS","Alpha",NA
"TARI","Kibaha",2020,"2020_CET_KIBAHA","Lattice",NA
"TARI","Kibaha",2020,"2020_GxE_KBH","Lattice",NA
"TARI","Kisesa-Magu",2020,"2020_PYT_NMKS1_KIS","Alpha",NA
"TARI","Kisesa-Magu",2020,"2020_PYT_NMKXAR37-80_KIS","Alpha",NA
"TARI","Ukerewe",2020,"2020_AYT_IITA_UKE","RCBD",NA
"TARI","Ukerewe",2020,"2020_AYT_TP_UKE","RCBD",NA
"TARI","Ukerewe",2020,"2020_AYT2_UKE","RCBD",NA
"TARI","Ukerewe",2020,"2020_AYT3_UKE","RCBD",NA
"TARI","Ukerewe",2020,"2020_UYT_UKE","RCBD",NA
"TARI","Ukiriguru",2020,"2020_AYT_IITA_UKG","RCBD",NA
"TARI","Ukiriguru",2020,"2020_AYT_TP_UKG","RCBD",NA
"TARI","Ukiriguru",2020,"2020_AYT2_UKG","RCBD",NA
"TARI","Ukiriguru",2020,"2020_AYT3_UKG","RCBD",NA
"TARI","Ukiriguru",2020,"2020_PYT_NMKS1_UKG","Alpha",NA
"TARI","Ukiriguru",2020,"2020_PYT_NMKxAR37-80_UKG","Alpha",NA
"TARI","Ukiriguru",2020,"2020_UYT_UKG","RCBD",NA
